,Title,Company,Location,Package,Description,Skills,Min_Experience,Max_Experience
0,Data Science Manager,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Hundreds of millions of customers, billions of transactions, petabytes of data… How to use the world's richest collection of e-commerce and device usage data to acquire new customers, target existing customers, and predict customer",['Data Science Manager'],10,13
1,Data Science Engineer,FactSet Philippines Inc,India,Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
2,Manager Data Science,Reliance Jio Infocomm Limited,Mumbai,Not Specified,"Job Description : * Job Responsibilities : 1. Specify, design, and implement new data science applications, methodologies,models,and algorithms 2. Help analyze business cases, formulate the problems and provide practical solution",[],5,8
3,Manager Data Science,Reliance Jio Infocomm Limited,Bengaluru / Bangalore,Not Specified,"Job Description : * Job Responsibilities : 1. Specify, design, and implement new data science applications, methodologies,models,and algorithms 2. Help analyze business cases, formulate the problems and provide practical solution",[],5,8
4,Manager Data Science,Reliance Jio Infocomm Limited,Bengaluru / Bangalore,Not Specified,"Job Description : * Job Responsibilities : 1. Specify, design, and implement new data science applications, methodologies,models,and algorithms 2. Help analyze business cases, formulate the problems and provide practical solution",[],5,8
5,Data Science Consultant,Hewlett Packard Enterprise,"Bengaluru / Bangalore, India",Not Specified,"Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world. You will join the HPE Global Operations Advanced",['Data Science Consultant'],4,12
6,Analyst-Data Science,Accenture,Mumbai,Not Specified,"Skill required: Data Science - Predictive Modeling and Analytics Designation: Analyst About Accenture Operations Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experi","['Analytics', 'Data Science', 'Predictive Modeling', 'Python', 'R Language']",3,5
7,Data Science Engineer,FactSet Philippines Inc,India,Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
8,Senior Analyst-Data Science,Accenture,"Mumbai, India",Not Specified,"Skill required: Data Science - Machine Learning Designation: Senior Analyst About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how do organizations s",['Analytics and Insights'],5,8
9,Senior Analyst-Data Science,Accenture,"India, Mumbai",Not Specified,"Skill required: Data Science - Predictive Modeling and Analytics Designation: Senior Analyst About Accenture Operations Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched",['Analytics and Insights'],5,8
10,"Data science analyst, TQ for Retail advertising",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Advertising at Amazon is a fast-growing business that spans across desktop, mobile and connected devices encompasses ads on Amazon and a vast network of hundreds of thousands of third party publshers and extends across US, EU and an",[],5,8
11,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
